  teamId  teamName              submissionDate              score  
--------  --------------------  --------------------------  -----  
15486939  nvbanana              2026-07-20 09:50:39.803000  65.83  
15789060  rabbithole            2026-07-20 13:40:26.886000  38.61  
15522728  Junhua Yang           2026-07-20 11:10:30.566000  36.39  
15618366  Bong                  2026-07-20 12:51:38.936000  34.44  
15523577  Team BlackBox         2026-07-20 00:03:39.163000  33.89  
15486728  Mithil A Vakde        2026-07-06 22:11:17         33.89  
15531975  Sanjay Dutt           2026-04-17 04:08:32.356000  33.47  
15494357  hvp                   2026-07-20 21:37:19.446000  33.47  
15644304  Joel Vetterlin        2026-06-27 10:28:28         33.19  
15658284  Nazura Wirayuda Tama  2026-07-20 19:51:28.436000  33.19  
15500458  Renoir                2026-07-20 03:45:53.463000  33.06  
15526034  keithtyser            2026-07-20 22:49:53.963000  33.06  
15650935  MadrARC               2026-07-03 20:32:31.533000  33.06  
15516636  john                  2026-07-11 06:36:21         32.78  
16246272  Fususu                2026-07-19 03:07:46.993000  32.78  
15938245  NguyenThanhNhan       2026-07-15 04:09:07         32.78  
15915225  Golden Banana         2026-07-18 07:47:05.793000  32.78  
15497207  Tony Li               2026-05-30 14:13:12         32.64  
15494362  SVG                   2026-04-16 06:23:57         32.64  
15520034  Kamado Tanjiro        2026-04-17 05:42:55.006000  32.64  
